Sense	Concepticon_ID	Concepticon_Gloss
schmieden, bewirken, durch Schmieden bewirken	288	FORGE
hineilen, kommen	1446	COME
ereilen, gelangen zu, erlangen		
aufsuchen, suchen	1468	LOOK FOR
ersättigen, sättigen		
ausspeien, speien	1278	VOMIT
verkünden		
anstoßen		
erwerben, bekommen	694	GET
gewinnsüchtig		
stehenbleiben, haltmachen, bestehen, verbleiben, beharren, stillstehen, bleiben, verharren, wiederhergestellt sein	987	REMAIN
vertrocknen, verdorren		
hineinsteigen, herabsteigen		
anstoßen		
Gastfreundschaft		
gastfrei, gastfreundlich		
ein Urteil abgeben über, beurteilen, verurteilen, urteilen, beschließen, richten	484	CONDEMN
aufrecht erhalten		
fest	3003	SOLID
bestreuen, belegen, überdecken, überbreiten		
Fremdling, Fremder, Gast	1782	GUEST
das Fundament legen, begründen, gründen		
rechtfertigen		
würzen, salzen		
verherrlichen, verklären		
bekanntgeben, offenbaren, sich offenbaren, erscheinen	1076	EMERGE (APPEAR)
sterben, absterben	1494	DIE
stärken		
erstarken, stark werden		
erseufzen, seufzen		
ein Zeichen geben, belehren, zeigen	1039	SHOW
zerreißen, zerstören, aufheben, auflösen	681	DESTROY
belehren, erziehen		
bezähmen, bezwingen, zähmen, bändigen		
brandmarken, mit einem Brandmal versehen		
kennzeichnen, sich merken, auszeichnen		
berauben		
geordnet, geregelt		
vollbringen, bewirken, machen, tun, wirken, bringen	692	BRING
Riss		
vergehen, aufhören, zerreißen	1735	TEAR (SHRED)
Zerstörung		
anzeigen, verkünden, verkündigen		
geziemend		
geziemend		
geordnet		
verordnen, bestimmen		
zur rechten Zeit, passend		
erlangen, erzielen		
passend, geschickt	1824	DEXTEROUS
geziemen		
Erbauung		
erbauen, bauen	1840	BUILD
Gebäude, Bau	2949	LAIR
wegziehen, wegführen, führen, bringen	692	BRING
vertrauen, anvertrauen, trauen		
zertreten, niedertreten		
befestigen, bestärken		
Gasse		
Bedacht		
verstummen, das Schweigen fortsetzen		
verdorren		
sich enthalten		
enthaltsam		
vergleichen	3429	COMPARE
verdorren, vertrocknen		
vorwärtskommen, hervorsprießen, wachsen, zunehmen	479	GROW
segnen, den Segen geben	391	BLESS
dienstbar machen, unterjochen, durchbohren	398	PIERCE
erschrecken	252	FRIGHTEN
ermahnen, trösten, in die Arme schließen, umarmen	928	EMBRACE
Trost		
die Flucht ergreifen, entfliehen, fliehen	956	FLEE
Trost		
trösten, ermuntern, Trost bringen, Trost empfangen		
Tenne, Ausdrusch		
bedrängen		
dreschen	285	THRESH
erdulden, dulden		
befestigen, stärken		
Bedeutung dunkel		
Gaubewohner		
Aufmerksamkeit		
Kropf		
bemerken, erscheinen, seine Aufmerksamkeit auf etwas richten	2893	NOTICE (SOMETHING)
arm machen		
klagen, Totenklage anstimmen		
Klage		
Betrübnis		
Betrübnis		
Betrübnis		
kränken, betrüben		
betrübt, traurig, mürrisch	699	SAD
tönend		
Goten		
Gote		
zusammenfügen, verloben		
bewegt, beweglich		
in Bewegung setzen, ermuntern, anregen, bewegen, erregen	765	MOVE
hinwerfen, niederwerfen, werfen, hinundherreißen	1456	THROW
sich zuwenden, sich nähern, sich zusammentun	1778	APPROACH
friedfertig, friedlich		
Friede	1338	PEACE
versöhnen		
versöhnt werden, sich versöhnen		
erwachen	1602	WAKE UP
sich der Herrschaft bemächtigen, vergewaltigen		
Erwählung, Wahl		
erwählen, auserwählen, auswählen		
gemein, unrein, befleckt		
Bekehrung		
wenden, zurückwenden, hinlenken, bekehren, zurückgeben, hinwenden, umkehren, zurückkehren	1445	TURN (SOMETHING)
Verurteilung, Verdammung, Verdammnis		
einen verurteilen zu, ächten, verdammen		
Bekleidung, Kleidung	1895	CLOTHES
bekleiden, kleiden, sich bekleiden, sich kleiden	814	DRESS UP
Gespräch, Rede	1115	SPEECH
Geschäft, Erwerb, Gewinn	2931	BUSINESS
bewirken, erwirken, bereiten, machen, bringen, erhandeln, ausstellen	692	BRING
Mitarbeiter		
eingewurzelt		
weihen, heiligen		
besuchen, heimsuchen, besorgen	1377	VISIT
erwarten, annehmen, meinen		
Gau, Land, Bezirk, Umgegend, Gegend	1300	COUNTRY
zusammenbinden, verbinden	2862	CONNECT
bewegen, schütteln	1909	SHAKE
einmütig, gewillt		
sich verwickeln		
erleiden, leiden		
verweilen, verbleiben		
Verbindung, Gelenk, Band der Gelenke	999	JOINT
verteidigen	1330	DEFEND
voll Mitfreude		
Freude	2524	JOY
bestrafen, rächen, Rache nehmen		
Frucht bringen		
verwunden		
Schatzhaus, Schatzkammer		
Stachel, Peitsche	3798	STINGER
gehen	1443	WALK
begehren		
Gier		
gierig	2018	GREEDY
Geisel		
erschrecken	252	FRIGHTEN
Gabe, Geschenk, gRune	2982	GIFT
geben	1447	GIVE
Geber		
Giebel		
gähnen	1028	YAWN
Steuer, Abgabe, Zins		
gelten		
Steuer, Abgabe		
Eintragung in die Steuerliste		
Sichel	341	SICKLE
beginnen		
Speer	945	SPEAR
morgen	1329	TOMORROW
finden, bekommen, erlangen	719	FIND
gießen	3078	IRRIGATE
froh, fröhlich	1495	HAPPY
sorgsam		
genau	1466	EXACT
genau	1466	EXACT
genau	1466	EXACT
Glanz		
glänzen		
Handschuh	867	GLOVE
von guter Abkunft, edlen Geschlechts		
Tugend, Tüchtigkeit, Güte		
Gruß		
grüßen		
Gaumen	540	PALATE
Goten		
Gotenende		
gut, schön, tüchtig	1035	GOOD
Graben	1418	DIG
graben	1418	DIG
Gram		
erzürnen, aufregen		
zornig		
Holzsplitter, Splitter		
Bart, Barthaar, Zopf	678	BEARD
Bart, Barthaar, Zopf	678	BEARD
Bart, Barthaar, Zopf	678	BEARD
Gras, Kraut	606	GRASS
Greutungen, Ostgoten		
hungrig	1533	BE HUNGRY
hungern	1533	BE HUNGRY
Hunger	1864	HUNGER
gebieten, anordnen		
Beschluss, Verordnung, Befehl		
Maske		
greifen, ergreifen	855	SEIZE
greis, grau	406	OLD MAN
Ostgoten		
weinen, klagen	1839	CRY
Weinen	1839	CRY
Grieß, Sand	671	SAND
grau	153	GREY
ergrimmen, zürnen	2223	BE ANGRY
Grimm		
grimmig, zornig, schrecklich		
kleinmütig		
zerreiben		
zerrieben		
Schrecken		
Schritt, Stufe		
Ostgoten		
Grube, Höhle	1155	CAVE
Grund	2968	REASON
Grund	2968	REASON
Grundmauer		
Grütze		
Ostgoten		
fromm		
gottesfürchtig		
gottlos		
Gottesgestalt		
Gottesverehrer		
Frömmigkeit		
Gotteshaus, Tempel		
göttlich		
Priester	852	PRIEST
Priestertum		
Priester sein, das Priesteramt verrichten		
Gold	1369	GOLD
golden		
Mann	1554	MAN
männlich		
Männchen	3924	MALE ANIMAL
männlich		
Krebsgeschwür, Geschwür	1189	ULCER
Kampf		
Kampf		
Gote		
Goten		
gotisch		
gegossen werden		
Gotin		
Gotenvolk		
Angerufener, Gott, Götze	3231	DEITY
h, Abkürzung für 8		
haben, besitzen, inne haben, meinen, halten, werden, sich befinden, können, wollen	1784	WANT
habend		
heben, aufheben	371	PICK UP
sich heben		
 heften, anhängen, anheften		
angeheftet werden		
behaftet		
Pfleger, Heger		
Hüfte	1745	HIP
Hagel, hRune	609	HAIL
Hängen, Hang	2884	HANG
hängen, schweben lassen	2884	HANG
hangen		
hängend		
Hebräer		
Art	844	KIND (THING)
streiten	3302	QUARREL (VERB)
Streit, Zank	1848	QUARREL
einäugig		
heilig, geweiht	1702	HOLY
Heil		
heil, lebendig	1422	BE ALIVE
heilen	499	CURE
geheilt werden		
heil, gesund, wohl	1364	HEALTHY
sei gegrüßt		
Land	1300	COUNTRY
heimisch		
Grundbesitz, Familiengut		
Dorf, Land, Flecken	930	VILLAGE
Parteien, Ketzerei		
Herde	2939	FLOCK (OF ANIMALS)
Hirt	2544	SHEPHERD
Herz	1223	HEART
herzig		
Eingeweide, Herz, Inneres	1223	HEART
Schwert		
Fackel	1919	TORCH
heißen, nennen, heißen, genannt werden, rufen, einladen, befehlen	180	CALL BY NAME
Geheiß, Befehl		
Heißer		
Heide, Steppe, Feld, Acker	212	FIELD
wild	2230	UNTAMED OR WILD
Heidin		
heidnisch		
hecheln		
Mantel	603	COAT
Hälfte, Seite, Teil	816	HALF
halb	3836	HALF (HALF OF)
hüten, weiden, halten	1448	HOLD
mehr, lieber	1992	MORE
kaum	2926	HARDLY
kaum je, kaum	2926	HARDLY
Hölle		
Hexe, Zauberweib	824	WITCH
leer, umsonst, dürftig, armselig	1624	EMPTY
Fels, Stein	857	STONE
Hals	1333	NECK
Hals, Nacken	1333	NECK
lahm	320	LAME
Neigung		
geneigt		
verstümmelt, gekrümmt, lahm	320	LAME
kleiden	814	DRESS UP
Hülle		
Hahn	1511	ROOSTER
Hand	1277	HAND
Weisheit, Klugheit, Geschicklichkeit		
weise, klug, geschickt	1310	CLEVER
Hand	1277	HAND
handgemacht, mit der Hand gemacht		
Huhn, Henne	1318	CHICKEN
Schar, Manipel, Kohorte, Menge	2987	AMOUNT
abpflücken		
sehr, hart	1884	HARD
Hartherzigkeit		
hartherzig		
hart, streng	1884	HARD
Herberge		
Hering		
Heerring		
Heerführer		
Heer, Menge	2987	AMOUNT
Harfe	2597	HARP
packen		
Haspe, Winde		
haspeln		
grau	153	GREY
hassen	1607	HATE
Hass, Zorn		
zürnen	2223	BE ANGRY
hassen	1607	HATE
Kampf		
Haupt, Kopf	1256	HEAD
hoch	1265	HIGH
Höhe	2985	HEIGHT
Erhöhung, Preis, Ehre	657	PRICE
Hochmut		
hochmütig		
höher		
höchste Höhe		
Höhe, Erhebung, Ehre	2985	HEIGHT
hoch machen, erhöhen, preisen, verherrlichen	1041	INCREASE
erhöht werden		
hoch	1265	HIGH
hochmütig, verblendet		
Erniedrigung, Demut		
Demut		
erniedrigen, niedrig machen		
niedrig, demütig	3348	LOW (POSITION OR HEIGHT)
Tür, geflochtene Tür	1567	DOOR
Kohle, Kohlenfeuer	2658	COAL
Horn, Frucht des Johannisbrotbaums, Bockshorn	1393	HORN (ANATOMY)
Hornbläser, Hornist		
hornblasen, das Horn blasen, trompeten		
Gehör, Ohr, das Gehörte, Hören, Predigt, Gehorsam	1247	EAR
hören, anhören, zuhören	1408	HEAR
hören	1408	HEAR
Heu	342	HAY
Haar	1040	HAIR
Haarwalter, Heerwalter		
Lob, Loblied, Lobgesang, Preis	657	PRICE
tausend	1843	THOUSAND
loben, preisen	3455	COMMEND
Hitze, Fieber	1534	FEVER
heiß	1286	HOT
Hausstand		
Hausherr		
Familie, Haushalt	194	FAMILY
eli, mein Gott		
hier, her	136	HERE
Kammer		
dieser	1214	THIS
hierher		
Kampf		
Kampf		
Helm	1680	HELMET
helfen	1897	HELP
von himmlischer Abkunft, himmlisch		
Himmel	1732	SKY
hinter, jenseits	1686	BEHIND
hinter, jenseits, über	1686	BEHIND
hinzukommen, vergehen	1951	PASS
hinterlistig, verstellt		
Hinterlist		
hinterste, letzte, äußerste		
fangen	702	CATCH
hierher, komm her		
kommen	1446	COME
er, dieser	1211	HE
wehklagen, Klagelieder singen		
Haufen, Menge	2984	HEAP
Gestalt, Aussehen		
lachen	1355	LAUGH
Brot, Brotlaib, Brotbissen, Bissen	1368	BREAD
Hügel	614	HILL
Grab	1773	GRAVE
Gräber		
Falle, Schlinge	1075	TRAP (PITFALL)
heiter, fröhlich, sorgenfrei	1495	HAPPY
Fröhlichkeit, Heiterkeit		
laden	3669	LOAD (SOMETHING)
laufen, springen	1829	JUMP
Los, Anteil, Erbschaft		
sich annehmen		
link		
Zelt, Hütte	1316	TENT
Zeltabsteckung, Zeltaufschlagen, Laubhüttenfest		
stehlen	713	STEAL
Dieb	1160	THIEF
Hütte, Zelt	1316	TENT
rauschen	2877	RUSTLE (OF LEAVES)
Gehör, Ohren	2518	HEARING (AURAL SENSE)
losen		
Gehör, Schweigen, Stille, Aufmerksamkeit	3458	SILENCE
lachen machen		
Lauterkeit, Reinheit, Aufrichtigkeit		
Lauterkeit, Reinheit, Aufrichtigkeit		
lauter, rein	1147	PURE
berühmt		
Erniedrigung, Demut		
niedrig machen, erniedrigen		
niedrig, demütig	3348	LOW (POSITION OR HEIGHT)
Napf		
weich, weichlich, zart	1856	SOFT
betrüben		
sich neigen		
sich betrüben, trauern	1955	GRIEVE
reißen	1735	TEAR (SHRED)
zerreißen, zerrissen werden	1735	TEAR (SHRED)
spitzer Pfahl		
halten, passen	1448	HOLD
Pflug	2154	PLOUGH (INSTRUMENT)
Geiß	2476	FEMALE GOAT
Betrug		
verleumden, betrügen, durch Betrug schädigen, schikanieren, schaden	2947	DAMAGE (INJURY)
Ehebruch, Hurerei	902	ADULTERY
huren, die Ehe brechen, Ehebruch treiben		
Hurer, Ehebrecher		
Rabe	2543	RAVEN
Reinheit, Reinigung		
Reinigung		
Reinheit		
reinherzig, reinen Herzens seiend		
reinigen	2235	CLEAN (SOMETHING)
rein, ehrbar	1147	PURE
Leiche		
Leichentaube, Turteltaube		
Gestell		
kreuzigen		
Ranke		
ranken		
stürzen, eilen	2860	BOLT (MOVE IN HASTE)
Ring, Kreis	1374	RING
schütteln	1909	SHAKE
Ruhm		
rufen	1084	CALL
rufen, schreien	1084	CALL
Ruf, Geschrei	2944	CALL (APPEAL)
Dach, Haus	1252	HOUSE
Ruhm, Sieg	783	VICTORY
ruhmreich, siegreich		
Stab, Rute		
Krähen		
krähen		
runzeln		
forschen		
Gesinnung		
hungern	1533	BE HUNGRY
denken, meinen, glauben	1890	BELIEVE
Verstand, Sinn	2950	MEANING
Landgut, Feld	212	FIELD
häufen, sammeln	7	GATHER
Hunger, Hungersnot	1864	HUNGER
Hüllung		
Hülle, Decke	806	BLANKET
hüllen, verhüllen		
Rugier		
Insel	622	ISLAND
höhlen		
hohl		
Holder		
Holde		
hold, gnädig, günstig		
Höhle	1155	CAVE
hundert	1634	HUNDRED
Zenturio, Hundertführer		
Hund	2009	DOG
junger Bär		
Opfer	1103	SACRIFICE
versöhnlich		
Opferstätte, Altar		
opfern		
Fang, Beute		
Hüfte	1745	HIP
Haus	1252	HOUSE
Beinschiene, Hose, Beinkleid	809	TROUSERS
Hort, Schatz		
Schätze sammeln, sammeln	7	GATHER
Ysop		
wohin	2928	WHITHER (WHERE TO)
Kessel, ƕRune	854	KETTLE
wandeln, sich wenden		
Schädel	1605	SKULL
Schädel	1605	SKULL
Schädel	1605	SKULL
Weizen		
wie, irgendwie	1239	HOW
wann, irgendwann, wie, um wieviel, etwa	1239	HOW
jemals		
ersticken	129	CHOKE
ersticken	129	CHOKE
wo	1237	WHERE
wandeln, gehen, umhergehen	1443	WALK
welcher, wer	1235	WHO
jeder		
wer, was, irgendeiner, jemand, etwas	1235	WHO
jemand	2422	SOMEONE
scharf, streng	1396	SHARP
Strenge, Schärfe		
anreizen, verlocken		
scharf	1396	SHARP
wohin	2928	WHITHER (WHERE TO)
wer von beiden		
jeder von beiden		
schäumen		
Schaum	1768	FOAM
woher, von woher		
jeder		
wem, mit wem, womit, um was, irgendwie, etwa	1236	WHAT
jedenfalls, nur	1580	ONLY
Weile, Zeit, Stunde	892	TIME
nur eine Zeitlang dauernd, vergänglich, unbeständig		
Ruhe, Verweilen	3458	SILENCE
aufhören	1928	CEASE
eine Stunde lang		
weiß	1335	WHITE
weißen		
weiß	1335	WHITE
wie groß		
wölben		
wie beschaffen, was für ein, welcher		
Wölbung		
Totenkiste, Sarg		
760		
725		
740		
743		
Ruhm, Rühmen		
sich rühmen		
Drohung		
drohen	1192	THREATEN
Ysop		
707		
i, Abkürzung für 10		
11	1706	ELEVEN
12	1707	TWELVE
ob, etwa, wohl, ob denn, doch wohl, doch nicht, dass nicht etwa		
Berglehne, Abhang	3076	SLOPE
gleich	2276	IDENTICAL
gleichen Körpers, gleich	2276	IDENTICAL
gleichschön, gleichgesichtig, gleichgestaltet		
Gleichheit, Billigkeit		
gleichmachen, ebnen		
ebnen		
ebnen		
eben, flach, gleich	1633	FLAT
Eber	3154	WILD BOAR
rückwärts gewandt, zurück	2910	BACK (DIRECTION)
14	2451	FOURTEEN
ging		
Buße		
bereuen, Buße tun		
reuig		
Schmach, Schimpf		
rügen, zurechtweisen		
schmähen		
15		
folgende		
13	1708	THIRTEEN
Igel	1797	HEDGEHOG
euch beiden gehörig, euer beider		
18		
Eis, iRune	617	ICE
ich	1209	I
der ich, ich welcher	1209	I
in, an, auf, unter, zu, während, bei, über, nach, gegen, um, für, bis zu, wegen, um willen, durch	1485	BELOW OR UNDER
anfahren, bedrohen, in Angst setzen	1192	THREATEN
Besonnenheit, Selbstbeherrschung		
verständig, besonnen, klug	1310	CLEVER
zornig machen, reizen		
anbrennen, in Brand stecken		
in Bestürzung geraten, erschüttert werden		
sich erbarmen, gerührt sein		
verwandeln, umwandeln		
Hausgenosse		
im Haus befindlich		
Gift	655	POISON
erbittern		
schrecklich		
Entschuldigung, Vorwand, Gelegenheit		
einwenden		
schwanger, Schwangere	1123	PREGNANT
Stammesgenosse, Landsmann		
erleuchten		
Vertauschung, Tausch		
verwandeln, verändern	2856	CHANGE (SOMETHING)
hinein		
innen, innerhalb		
zum Haus gehörig, Hausgenosse		
von innen, hinein, innen, innerhalb, inwendig		
hineinbringen, hineintragen		
hineingehen, hineinkommen	749	ENTER
Eingang, Eintritt		
hineinziehen, hineinführen		
von innen, inwendig		
hineingehen, fortgehen	749	ENTER
hineingehen	749	ENTER
hernehmen		
Erneuerung, Fest der Tempelweihe, Kirchweihe		
weiter hinaufschlüpfen, hineinschlüpfen		
der innere, innerlich		
hineinwerfen		
erzürnt werden, zürnen, unwillig sein	2223	BE ANGRY
erzittern, erbeben		
Schwert		
Erzählung, Aussage, Zeugnis	2060	STORY
einsäen, hineinsäen		
hinsehen, ansehen, auf etwas sehen, nach etwas sehen, aufblicken, sich umsehen	1650	WATCH
anseilen, herablassen		
vorstellen, anraten, eintreten für, bezeichnen, vortragen, anzeigen	180	CALL BY NAME
entsenden, hinsenden, zusenden, senden		
bevorstehen, eintreten für		
stärken		
anzünden, verbrennen, in Brand setzen	737	LIGHT (IGNITE)
einpfropfen		
verbrennen	141	BURN (SOMETHING)
ohne, außer	1478	WITHOUT
erregen, aufwiegeln		
hineinwenden, verdrehen, verkehren		
Verehrung erweisen, begrüßen, anbeten, ansehen, verehren	1650	WATCH
anbeten, behexen		
verleugnen, für ungültig erklären		
Ungerechtigkeit		
gewunden, ungerecht, verkehrt, verdorben	1728	ROTTEN
bevorstehen		
innerhalb des Gesetzes stehend, gesetzlich		
ein Gott	3231	DEITY
16		
er	1211	HE
isch		
Israel		
Israelit		
essen	1336	EAT
aber, und, wenn, nun, also, denn	1577	AND
19		
Judäa		
Jude		
auf jüdische Weise		
jüdisch leben		
jüdisch		
Haufen, Menge	2984	HEAP
aufwärts, hinauf	1591	UP
oben, hinauf	1265	HIGH
von oben, von Anfang an, von vorne		
von oben		
besser		
Erholung, Besserung		
bessern, erleichtern		
besser, vorzüglicher		
Nachkomme		
17		
der, welcher		
euer	2274	YOUR (PLURAL)
j, Abkürzung für 60		
ja	1268	YES
ob, wenn, wenn nur		
und, und zwar, auch, aber, denn	1577	AND
ja, wahrlich, für wahr	1268	YES
an jenem Ort, dort	1937	THERE
dorthin	2923	THITHER (THERE TO)
dorthin	2923	THITHER (THERE TO)
dorthin gewandt		
jener	78	THAT
dorther, von dort		
und wenn, sei es dass, gleichviel ob, entweder ... oder		
ob		
Jahr, Zeit, jRune	1226	YEAR
Jesus		
Zornausbruch, Streit		
kämpfen, ringen, obsiegen	1423	FIGHT
Julfest		
Julmonat, Dezember	2855	DECEMBER
Jota, Pünktchen		
66		
schon, doch, nun, jetzt	1376	NOW
jüdisch		
Jüngling	76	YOUNG MAN
jung, jugendlich	1207	YOUNG
Gespann, Joch, Paar	14	YOKE
Joch	14	YOKE
Jugend		
ihr	1213	YOU
ihr beide		
schon	2576	ALREADY
ihr welche, die ihr	1213	YOU
k, Abkürzung für 20		
21	1734	TWENTY ONE
und so weiter		
Kaiser		
Kaisergeld, Zensus, Steuer, Kaisersteuer		
Kalb	1989	CALF
junge Kuh, weibliches Kalb, Kalbe		
Quelle, Brunnen	849	SPRING (OF WATER)
kalt	1287	COLD
Hurerei, Unzucht		
Unzucht treiben, huren		
Hure	1610	PROSTITUTE
Geschlecht, Nachkommenschaft		
kund tun, bekanntmachen, empfehlen, verkünden		
das Haar abschneiden, scheren	1532	SHEAR
hauen, schneiden	1432	CUT
Sorge	1668	GRIEF
besorgt		
Kerker, Gefängnis		
sich kümmern		
Karpfen		
Wagen	2620	CARRIAGE
Gefäß		
Töpfer		
Kessel	854	KETTLE
Handel, Kauf		
ohrfeigen, Faustschlag geben		
Geschäfte machen, Handel treiben	2135	TRADE OR BARTER
Gabe, fromme Stiftung, Opfer	1103	SACRIFICE
Tempelschatz		
Schwere, Fülle, Last	1679	LOAD
Schwere, Beschwerlichkeit		
Last, Schwere	1679	LOAD
drücken, belästigen, beschweren	1913	PRESS
Korn, Getreide, Weizen	605	GRAIN
Korn	605	GRAIN
schwer, lästig	1210	HEAVY
kosten, kennen lernen, prüfen	1975	CHECK
Sicherheit, Bürgschaft, Verschreibung		
22	3166	TWENTY TWO
24	1736	TWENTY FOUR
25	1738	TWENTY FIVE
keimen		
Turm, Speisesaal im Obergeschoß, Söller		
23	3165	TWENTY THREE
28	3478	TWENTY EIGHT
schlucken, schlingen	897	SWALLOW
trinke den Becher aus		
Kind	2099	CHILD
Mutterleib		
Kind	2099	CHILD
Statthalter, Landpfleger		
Kind, Geschlecht, Art	2099	CHILD
Wange	1730	CHEEK
Heller		
prüfen, wählen	1750	CHOOSE
gellen, klingen, schallen	2879	SOUND (OF INSTRUMENT OR VOICE)
Becken, Zimbel, Klingel, Schelle		
Kloben, Kluppe, gespaltener Zweig		
gut	1035	GOOD
Knie	1371	KNEE
Geschlecht		
niederfallen, auf die Knie fallen, knien	66	KNEEL
Knien	66	KNEEL
knien	66	KNEEL
Kuchen		
kühn		
Becher	476	CUP
26	3476	TWENTY SIX
drücken	1913	PRESS
Klammer, Haken	1071	HOOK
Haken	1071	HOOK
kratzen	1767	SCRAPE
kreischen, schreien	715	SHOUT
Kreis	1467	CIRCLE
Grieche		
Krippe		
knirschen		
zermalmen		
Krug	270	JUG
Krücke		
runde Masse		
Kleie		
Kleie		
Knirschen		
29	3479	TWENTY NINE
Liegen am Tisch, Tischgesellschaft, Gruppe, Tischgenossenschaft		
küssen	578	KISS
steh auf		
Fessel, Band	2969	RIBBON
sich vermehren		
stammend		
Geschlecht, Stamm	344	TREE TRUNK
Kennenlernen		
kennen, wissen	1410	KNOW (SOMETHING)
kennenlernen		
stammend		
Kunde, Kenntnis		
künden		
kund, bekannt, Bekannter	3005	FAMILIAR
keusch		
Kehle, kRune, Geschwür	1346	THROAT
Probe		
Prüfung, Beweis		
kyrenisch, Einwohner von Kyrene		
27	3477	TWENTY SEVEN
1, Abkürzung für dreißig	1493	ONE
Langmut		
langmütig		
Länge	2537	LENGTH
lang	1203	LONG
legen, auflegen, hinlegen, setzen, stellen	2071	LAY (VERB)
See, lRune	624	LAKE
schmähen		
Überbleibsel, Rest		
übrig lassen		
gehen machen, leiten	43	LEAD (GUIDE)
Rest		
Legion		
lecken	319	LICK
hüpfen, springen	1829	JUMP
Tanz		
Leseabschnitt, Lektion		
wissen, erfahren	1410	KNOW (SOMETHING)
Lehrer	1038	TEACHER
zum Lehren befähigt, zum Lehren geeignet, lehrend		
Lehre		
gelehrt		
lehren, belehren, sich belehren	709	TEACH
Lehre		
folgen, nachstreben, verfolgen, nachgehen	1085	FOLLOW
leisten		
Spur	318	FOOTPRINT
leid		
Levit		
Lamm, Schaf, junges Kleinvieh	1331	SHEEP
lahm, schlaff, mild, matt	320	LAME
Land, Landgut, Gegend	1300	COUNTRY
Lende	187	LOIN
Löffel	1378	SPOON
schwach	1601	WEAK
Fetzen		
Lässigkeit, Trägheit		
aufhalten, verzögern, lange dauern		
lässig, träge, faul	1564	LAZY
Ruf, Ladung	2944	CALL (APPEAL)
gern		
gern		
einladen	1611	INVITE
Einladung, Berufung, Trost, Erlösung		
Glanz		
Laubhütte		
erlauben	1003	PERMIT
Laube, Vorhalle, Dach	769	ROOF
Gestalt		
Laub, Blatt	628	LEAF
wertvoll	3002	PRECIOUS
leugnen	755	DENY
Verborgenheit		
blitzen		
Blitz	1654	LIGHTNING
Lohn, Belohnung, Dank	1122	WAGES
undankbar		
Lohn	1122	WAGES
los, leer	1624	EMPTY
leeres Gerede, leeres Geschwätz		
leeres Gerede, leeres Geschwätz		
leeres Geschwätz vollführend, hohler Schwätzer		
Lösung		
mit leeren Händen		
mit leeren Händen		
lösen, losmachen, retten, Geld erheben, Geld eintreiben, Geld zurückfordern, fordern, sich bezahlen lassen	2008	RESCUE
Fasten	303	ABSTAIN FROM FOOD
leeren Magens, nüchtern, ungespeist		
beschaffen, groß	1202	BIG
leicht, leichtsinnig	1052	LIGHT (WEIGHT)
leihen, borgen	582	LEND
Körper, Leib, Leichnam, Fleisch	1480	BODY
Gefallen, Gutdünken, Wohlgefallen, Vorsatz		
gefallen		
Gleichheit		
leiblich, fleischlich		
Leinen, Leinwand, Linnen		
kundig		
Kunde		
Leiste		
klein, wenig	1246	SMALL
gehen	1443	WALK
Obstwein		
Arzt	597	PHYSICIAN
Heilung		
heilen	499	CURE
Leute	789	PEOPLE
Lassen	2896	CAUSE TO (LET)
lassen, zurücklassen, zulassen	2896	CAUSE TO (LET)
gelassen werden		
Gelassener		
Liebe	923	LOVE
Leute	789	PEOPLE
Mann	1554	MAN
Gelegenheit, Veranlassung, Anlass		
verraten	1902	BETRAY
Leben	210	LIFE
leben	1422	BE ALIVE
Rest, Überbleibsel		
übrigbleiben		
Leben, Leib	210	LIFE
liegen, darniederliegen	1411	LIE (REST)
Lager, Bett, Beilager	1663	BED
warum	1270	WHY
lind, mild		
Linde, Lindenschild		
leise, sanft	1856	SOFT
sammeln, lesen	724	READ
Schnitte		
zu wenig		
listig		
List		
Verstellung, Heuchelei		
Bittgebet, Fürbitte		
heucheln, sich verstellen		
Glied	1222	PENIS
lieblich		
wachsen	479	GROW
lieb, geliebt	2470	DEAR
Lüge	2826	LIE (FALSEHOOD)
Heirat, Ehe	2432	MARRIAGE
verheiratet		
heiraten	203	MARRY
lügen, belügen	601	LIE (MISLEAD)
lügnerisch		
Lüge	2826	LIE (FALSEHOOD)
Lügenprophet, falscher Prophet		
Lügen redend, lügnerisch		
Lügner	3470	LIAR
Erleuchtung, Licht	630	LIGHT (RADIATION)
Helle, Glanz		
hell	679	BRIGHT
Licht	630	LIGHT (RADIATION)
leuchten		
licht, strahlend, hell	679	BRIGHT
lösen, los sein	352	UNTIE
Heuchler		
Heuchelei, Betrug, Würfelspiel, Trugspiel		
heuchlerisch, betrügerisch		
Lied	1096	SONG
Sänger		
lobsingen, singen	1261	SING
Mann, Leute	1554	MAN
Löwe	1386	LION
flache Hand		
Lache		
Luder, Lockspeise		
Hoffnung		
hoffen	1092	HOPE
Gift	655	POISON
giftkundig, Zauberer	823	SORCERER
Giftmischerei, Zauberei, Giftkunde		
Liebe	923	LOVE
Angesicht, Antlitz	1560	FACE
schlaff, einfach	686	EASY
Luft	27	AIR
Loch, Öffnung	1667	HOLE
schließen	1046	SHUT
Leuchte, Licht	630	LIGHT (RADIATION)
Leuchter		
sich schließen		
Lösung		
lösen	352	UNTIE
Lösegeld		
gelöst werden		
begehren, gelüsten		
Lösung		
Lust, Begierde, Verlangen	2960	LONGING (WISH)
ersehnt		
täuschen, betrügen, Verführer	3230	DECEIVE
m, Abkürzung für 40		
können, vermögen	972	BE ABLE
Jungfräulichkeit		
Jungfrau, Magd		
Knäblein, Knabe	1366	BOY
