Gothic	Meaning
garaideins	Anordnung, Satzung, Regel
garaidjan	befehlen, verordnen, bestimmen, anordnen, festsetzen
garaíhtaba	gerecht, mit Recht
garaíhtei	Gerechtigkeit, Gebot
garaíhteins	Zurechtweisung, Wiederherstellung
garaíhtiþa	Gerechtigkeit
garaíhtjan	als gerecht erweisen, etwas richten, hinlenken, lenken, rechtfertigen
garaíhts	gerecht
garaiþs	angeordnet
garaþan	zählen
garaþjan	zählen
garazna	Nachbar
garaznō	Nachbarin
garba	Garbe
garda	Hürde, Viehhof
gardawaldands	Hausherr
gardi	Gehege
gardiggs	Hofmann, Hofbeamter
gardingatus	Hofamt
gardingus	Hofmann, Hofbeamter
gards	Haus, Hauswesen, Familie, Hof, Prätorium
garēdaba	anständig, ehrbar
garēdan	Vorsorge treffen, raten, versorgen
garēhsns	bestimmte Zeit, Bestimmung, Plan
garēþs	anständig
garinnan	zusammenlaufen, zusammenkommen, erlaufen, erringen, erlangen
gariudan	erröten
gariudei	Schamhaftigkeit
gariudi	Ehrbarkeit
gariuþs	ehrbar
gart	Rebe
garūni	Beratung, Beratschlagung
garunjō	Flut, Überschwemmung
garuns	Markt, Straße
garwi	Schmuck
garwōn	bereiten, kleiden
garws	Schmuck
gasahts	Vorwurf, Tadel, Zurechtweisung, Beschuldigung
gasaíƕan	erblicken, sehen,
gasaíƕans	gesehen, sichtbar
gasakan	überführen, schelten, den Mund stopfen, zum Schweigen bringen, widerlegen
gasalbōn	salben, besalben
gasalja	Hausgemeinschaft, Genosse
gasaljan	opfern, zum Opfer bringen
gasandjan	entsenden, geleiten
gasateins	Grundlegung
gasatjan	hinsetzen, hinstellen, hinlegen, beilegen, anordnen, einsetzen, wiederherstellen
gasibjōn	sich versöhnen
gasiggqan	versinken, untergehen
gasigljan	besiegeln, bestätigen, versiegeln
gasinþa	Gefährte, Reisegefährte
gasinþja	Gefährte, Reisegefährte
gasitan	sich niedersetzen, Platz nehmen
gaskadweins	Beschattung, Bedeckung, Bekleidung
gaskadwjan	beschatten, bedecken
gaskafts	Erschaffung, Geschöpf
gaskaidansik	sich zurückziehen, sich trennen
gaskaideins	Unterschied, Trennung, Scheidung
gaskaidnan	geschieden werden, sich scheiden
gaskalki	Mitknecht
gaskamansik	beschämt werden, sich schämen
gaskapjan	erschaffen, schaffen
gaskaþjan	schaden, Schaden zufügen, Unrecht tun
gaskeirjan	erklären, auslegen, übersetzen
gaskōhi	Sandalen, Schuhe, Schuhwerk
gaskōhs	beschuht
gaslawan	schweigen, verstummen
gasleiþjan	beschädigen, schädigen, schaden
gaslēpan	schlafen, entschlafen, einschlafen
gasmeitan	aufstreichen, beschmieren
gasmiþōn	schmieden, bewirken, durch Schmieden bewirken
gasniumjan	hineilen, kommen
gasniwan	ereilen, gelangen zu, erlangen
gasōkjan	aufsuchen, suchen
gasōþjan	ersättigen, sättigen
gaspeiwan	ausspeien, speien
gaspillōn	verkünden
gastagqjan	anstoßen
gastaldan	erwerben, bekommen
gastalds	gewinnsüchtig
gastandan	stehenbleiben, haltmachen, bestehen, verbleiben, beharren, stillstehen, bleiben, verharren, wiederhergestellt sein
gastaúrknan	vertrocknen, verdorren
gasteigan	hineinsteigen, herabsteigen
gastiggqan	anstoßen
gastigōdei	Gastfreundschaft
gastigōþs	gastfrei, gastfreundlich
gastōjan	ein Urteil abgeben über, beurteilen, verurteilen, urteilen, beschließen, richten
gastōþan	aufrecht erhalten
gastōþs	fest
gastraujan	bestreuen, belegen, überdecken, überbreiten
gasts	Fremdling, Fremder, Gast
gasūljan	das Fundament legen, begründen, gründen
gasunjōn	rechtfertigen
gasupōn	würzen, salzen
gaswēran	verherrlichen, verklären
gaswikunþjan	bekanntgeben, offenbaren, sich offenbaren, erscheinen
gaswiltan	sterben, absterben
gaswinþjan	stärken
gaswinþnan	erstarken, stark werden
gaswōgjan	erseufzen, seufzen
gataiknjan	ein Zeichen geben, belehren, zeigen
gataíran	zerreißen, zerstören, aufheben, auflösen
gatalzjan	belehren, erziehen
gatamjan	bezähmen, bezwingen, zähmen, bändigen
gatandjan	brandmarken, mit einem Brandmal versehen
gatarhjan	kennzeichnen, sich merken, auszeichnen
gatarnjan	berauben
gatass	geordnet, geregelt
gataujan	vollbringen, bewirken, machen, tun, wirken, bringen
gataúra	Riss
gataúrnan	vergehen, aufhören, zerreißen
gataúrþs	Zerstörung
gateihan	anzeigen, verkünden, verkündigen
gatēmiba	geziemend
gatēms	geziemend
gatēwiþs	geordnet
gatēwjan	verordnen, bestimmen
gatilaba	zur rechten Zeit, passend
gatilōn	erlangen, erzielen
gatils	passend, geschickt
gatiman	geziemen
gatimreins	Erbauung
gatimrjan	erbauen, bauen
gatimrjō	Gebäude, Bau
gatiuhan	wegziehen, wegführen, führen, bringen
gatráuan	vertrauen, anvertrauen, trauen
gatrudan	zertreten, niedertreten
gatulgjan	befestigen, bestärken
gatwō	Gasse
gaþagki	Bedacht
gaþahan	verstummen, das Schweigen fortsetzen
gaþaírsan	verdorren
gaþarban	sich enthalten
gaþaúrbs	enthaltsam
gaþaúrpan	vergleichen
gaþaúrsnan	verdorren, vertrocknen
gaþeihan	vorwärtskommen, hervorsprießen, wachsen, zunehmen
gaþiuþjan	segnen, den Segen geben
gaþiwan	dienstbar machen, unterjochen, durchbohren
gaþlahsnan	erschrecken
gaþlaihan	ermahnen, trösten, in die Arme schließen, umarmen
gaþlaihts	Trost
gaþliuhan	die Flucht ergreifen, entfliehen, fliehen
gaþrafsteins	Trost
gaþrafstjan	trösten, ermuntern, Trost bringen, Trost empfangen
gaþrask	Tenne, Ausdrusch
gaþreihan	bedrängen
gaþriskan	dreschen
gaþulan	erdulden, dulden
gaþwastjan	befestigen, stärken
gaud	Bedeutung dunkel
gauja	Gaubewohner
gauma	Aufmerksamkeit
gauma	Kropf
gaumjan	bemerken, erscheinen, seine Aufmerksamkeit auf etwas richten
gaunlēdjan	arm machen
gaunōn	klagen, Totenklage anstimmen
gaunōþus	Klage
gaur	Betrübnis
gaurei	Betrübnis
gauriþa	Betrübnis
gaurjan	kränken, betrüben
gaurs	betrübt, traurig, mürrisch
gaus	tönend
Gauti	Goten
Gauts	Gote
gawadjōn	zusammenfügen, verloben
gawagiþs	bewegt, beweglich
gawagjan	in Bewegung setzen, ermuntern, anregen, bewegen, erregen
gawaírpan	hinwerfen, niederwerfen, werfen, hinundherreißen
gawaírþan	sich zuwenden, sich nähern, sich zusammentun
gawaírþeigs	friedfertig, friedlich
gawaírþi	Friede
gawaírþjan	versöhnen
gawaírþnan	versöhnt werden, sich versöhnen
gawaknan	erwachen
gawaldan	sich der Herrschaft bemächtigen, vergewaltigen
gawaleins	Erwählung, Wahl
gawaljan	erwählen, auserwählen, auswählen
gawamms	gemein, unrein, befleckt
gawandeins	Bekehrung
gawandjan	wenden, zurückwenden, hinlenken, bekehren, zurückgeben, hinwenden, umkehren, zurückkehren
gawargeins	Verurteilung, Verdammung, Verdammnis
gawargjan	einen verurteilen zu, ächten, verdammen
gawaseins	Bekleidung, Kleidung
gawasjan	bekleiden, kleiden, sich bekleiden, sich kleiden
gawaúrdi	Gespräch, Rede
gawaúrki	Geschäft, Erwerb, Gewinn
gawaúrkjan	bewirken, erwirken, bereiten, machen, bringen, erhandeln, ausstellen
gawaúrstwa	Mitarbeiter
gawaúrts	eingewurzelt
gaweihan	weihen, heiligen
gaweisōn	besuchen, heimsuchen, besorgen
gawēnjan	erwarten, annehmen, meinen
gawi	Gau, Land, Bezirk, Umgegend, Gegend
gawidan	zusammenbinden, verbinden
gawigan	bewegen, schütteln
gawiljis	einmütig, gewillt
gawindan	sich verwickeln
gawinnan	erleiden, leiden
gawisan	verweilen, verbleiben
gawiss	Verbindung, Gelenk, Band der Gelenke
gawitan	verteidigen
gawizneigs	voll Mitfreude
gawizns	Freude
gawrikan	bestrafen, rächen, Rache nehmen
gawrisqan	Frucht bringen
gawundōn	verwunden
gazaúflakiō)	Schatzhaus, Schatzkammer
gazds	Stachel, Peitsche
geen	gehen
geigan	begehren
geirō	Gier
geirs	gierig
geisls	Geisel
geisnan	erschrecken
giba	Gabe, Geschenk, gRune
giban	geben
gibands	Geber
gibla	Giebel
gijan	gähnen
gild	Steuer, Abgabe, Zins
gildan	gelten
gilstr	Steuer, Abgabe
gilstramēleins	Eintragung in die Steuerliste
gilþa	Sichel
ginnan	beginnen
gisls	Speer
gistradagis	morgen
gitan	finden, bekommen, erlangen
giutan	gießen
glad	froh, fröhlich
glaggwaba	sorgsam
glaggwō	genau
glaggws	genau
glaggwuba	genau
glitmuni	Glanz
glitmunjan	glänzen
glōfa	Handschuh
gōdakunds	von guter Abkunft, edlen Geschlechts
gōdei	Tugend, Tüchtigkeit, Güte
gōleins	Gruß
gōljan	grüßen
gōma	Gaumen
Goti	Goten
Goþiscandza	Gotenende
gōþs	gut, schön, tüchtig
graba	Graben
graban	graben
grama	Gram
gramjan	erzürnen, aufregen
grams	zornig
gramst	Holzsplitter, Splitter
grana	Bart, Barthaar, Zopf
granō	Bart, Barthaar, Zopf
granus	Bart, Barthaar, Zopf
gras	Gras, Kraut
Grautungōs	Greutungen, Ostgoten
grēdags	hungrig
grēdōn	hungern
grēdus	Hunger
grēfan	gebieten, anordnen
grēfts	Beschluss, Verordnung, Befehl
greima	Maske
greipan	greifen, ergreifen
greiseis	greis, grau
Greotingi	Ostgoten
grētan	weinen, klagen
grēts	Weinen
greut	Grieß, Sand
grēws	grau
grimman	ergrimmen, zürnen
grimmiþa	Grimm
grimms	grimmig, zornig, schrecklich
grindafraþjis	kleinmütig
grindan	zerreiben
grinds	zerrieben
gris	Schrecken
griþs	Schritt, Stufe
Griutuggōs	Ostgoten
grōba	Grube, Höhle
grundiþa	Grund
grundus	Grund
grunduwaddjus	Grundmauer
grūts	Grütze
Grūtungi	Ostgoten
gudaba	fromm
gudafaúrhts	gottesfürchtig
gudalaus	gottlos
gudaskaunei	Gottesgestalt
gudblōstreis	Gottesverehrer
gudei	Frömmigkeit
gudhūs	Gotteshaus, Tempel
gudisks	göttlich
gudja	Priester
gudjinassus	Priestertum
gudjinōn	Priester sein, das Priesteramt verrichten
gulþ	Gold
gulþeins	golden
guma	Mann
gumakunds	männlich
gumein	Männchen
gumeins	männlich
gund	Krebsgeschwür, Geschwür
gunþi	Kampf
gunþs	Kampf
Guta	Gote
Gutan	Goten
gutisks	gotisch
gutnan	gegossen werden
Gutō	Gotin
Gutþiuda	Gotenvolk
guþ	Angerufener, Gott, Götze
h	h, Abkürzung für 8
haban	haben, besitzen, inne haben, meinen, halten, werden, sich befinden, können, wollen
habands	habend
hafjan	heben, aufheben
hafnan	sich heben
haftjansik)	 heften, anhängen, anheften
haftnan	angeheftet werden
hafts	behaftet
hagja	Pfleger, Heger
hagka	Hüfte
hagl	Hagel, hRune
hāh	Hängen, Hang
hāhan	hängen, schweben lassen
hāhan	hangen
hāhjis	hängend
Haíbraius	Hebräer
haidus	Art
haifstjan	streiten
haifsts	Streit, Zank
haihs	einäugig
hailags	heilig, geweiht
haili	Heil
hailisks	heil, lebendig
hailjan	heilen
hailnan	geheilt werden
hails	heil, gesund, wohl
hails	sei gegrüßt
haima	Land
haimeis	heimisch
haimōþli	Grundbesitz, Familiengut
haims	Dorf, Land, Flecken
hairaíseis	Parteien, Ketzerei
haírda	Herde
haírdeis	Hirt
haírtō	Herz
haírts	herzig
haírþra	Eingeweide, Herz, Inneres
haírus	Schwert
hais	Fackel
haitan	heißen, nennen, heißen, genannt werden, rufen, einladen, befehlen
haiti	Geheiß, Befehl
haitja	Heißer
haiþi	Heide, Steppe, Feld, Acker
haiþiwisks	wild
haiþnō	Heidin
haiþns	heidnisch
hakiljan	hecheln
hakuls	Mantel
halba	Hälfte, Seite, Teil
halbs	halb
haldan	hüten, weiden, halten
haldis	mehr, lieber
halis	kaum
halisaiw	kaum je, kaum
halja	Hölle
haljōrūna	Hexe, Zauberweib
halks	leer, umsonst, dürftig, armselig
hallus	Fels, Stein
hals	Hals
halsagga	Hals, Nacken
halts	lahm
halþei	Neigung
halþs	geneigt
hamfs	verstümmelt, gekrümmt, lahm
hamōn	kleiden
hams	Hülle
hana	Hahn
handa	Hand
handugei	Weisheit, Klugheit, Geschicklichkeit
handugs	weise, klug, geschickt
handus	Hand
handuwaúrhts	handgemacht, mit der Hand gemacht
hanō	Huhn, Henne
hansa	Schar, Manipel, Kohorte, Menge
harbisjan	abpflücken
harduba	sehr, hart
harduhaírtei	Hartherzigkeit
harduhaírts	hartherzig
hardus	hart, streng
haribaírgō	Herberge
hariggs	Hering
harihriggs	Heerring
harjatuga	Heerführer
harjis	Heer, Menge
harpa	Harfe
harpōn	packen
haspa	Haspe, Winde
haspan	haspeln
hasws	grau
hatan	hassen
hatis	Hass, Zorn
hatizōn	zürnen
hatjan	hassen
haþus	Kampf
haubiþ	Haupt, Kopf
hauhaba	hoch
hauhei	Höhe
hauheins	Erhöhung, Preis, Ehre
hauhhaírtei	Hochmut
hauhhaírts	hochmütig
hauhis	höher
hauhisti	höchste Höhe
hauhiþa	Höhe, Erhebung, Ehre
hauhjan	hoch machen, erhöhen, preisen, verherrlichen
hauhnan	erhöht werden
hauhs	hoch
hauhþūhts	hochmütig, verblendet
hauneins	Erniedrigung, Demut
hauniþa	Demut
haunjan	erniedrigen, niedrig machen
hauns	niedrig, demütig
haúrds	Tür, geflochtene Tür
haúri	Kohle, Kohlenfeuer
haúrn	Horn, Frucht des Johannisbrotbaums, Bockshorn
haúrnja	Hornbläser, Hornist
haúrnjan	hornblasen, das Horn blasen, trompeten
hauseins	Gehör, Ohr, das Gehörte, Hören, Predigt, Gehorsam
hausjan	hören, anhören, zuhören
hausjōn	hören
hawi	Heu
hazds	Haar
hazdwalds	Haarwalter, Heerwalter
hazeins	Lob, Loblied, Lobgesang, Preis
hazer	tausend
hazjan	loben, preisen
heitō	Hitze, Fieber
heits	heiß
heiwa	Hausstand
heiwafrauja	Hausherr
heiwiski	Familie, Haushalt
hēlei	eli, mein Gott
hēr	hier, her
hēþjō	Kammer
hi	dieser
hidrē	hierher
hildi	Kampf
hilds	Kampf
hilms	Helm
hilpan	helfen
himinakunds	von himmlischer Abkunft, himmlisch
himins	Himmel
hindana	hinter, jenseits
hindar	hinter, jenseits, über
hindarleiþan	hinzukommen, vergehen
hindarweis	hinterlistig, verstellt
hindarweisei	Hinterlist
hindumists	hinterste, letzte, äußerste
hinþan	fangen
hiri	hierher, komm her
hirjan	kommen
his	er, dieser
hiufan	wehklagen, Klagelieder singen
hiuhma	Haufen, Menge
hiwi	Gestalt, Aussehen
hlahjan	lachen
hlaifs	Brot, Brotlaib, Brotbissen, Bissen
hlain	Hügel
hlaiw	Grab
hlaiwasnōs	Gräber
hlamma	Falle, Schlinge
hlas	heiter, fröhlich, sorgenfrei
hlasei	Fröhlichkeit, Heiterkeit
hlaþan	laden
hlaupan	laufen, springen
hlauts	Los, Anteil, Erbschaft
hleibjan	sich annehmen
hleiduma	link
hleiþra	Zelt, Hütte
hleþrastakeins	Zeltabsteckung, Zeltaufschlagen, Laubhüttenfest
hlifan	stehlen
hliftus	Dieb
hlija	Hütte, Zelt
hlimman	rauschen
hliuma	Gehör, Ohren
hliutan	losen
hliuþ	Gehör, Schweigen, Stille, Aufmerksamkeit
hlōhjan	lachen machen
hlūtrei	Lauterkeit, Reinheit, Aufrichtigkeit
hlūtriþa	Lauterkeit, Reinheit, Aufrichtigkeit
hlūtrs	lauter, rein
hluþ	berühmt
hnaiweins	Erniedrigung, Demut
hnaiwjan	niedrig machen, erniedrigen
hnaiws	niedrig, demütig
hnapps	Napf
hnasqus	weich, weichlich, zart
hneipan	betrüben
hneiwan	sich neigen
hnipnan	sich betrüben, trauern
hniupan	reißen
hnupnan	zerreißen, zerrissen werden
hnuþō	spitzer Pfahl
hōban	halten, passen
hōha	Pflug
hoka	Geiß
hōl	Betrug
hōlōn	verleumden, betrügen, durch Betrug schädigen, schikanieren, schaden
hōrinassus	Ehebruch, Hurerei
hōrinōn	huren, die Ehe brechen, Ehebruch treiben
hōrs	Hurer, Ehebrecher
hrabns	Rabe
hrainei	Reinheit, Reinigung
hraineins	Reinigung
hrainiþa	Reinheit
hrainjahaírts	reinherzig, reinen Herzens seiend
hrainjan	reinigen
hrains	rein, ehrbar
hraiw	Leiche
hraiwadūbō	Leichentaube, Turteltaube
hrama	Gestell
hramjan	kreuzigen
hranka	Ranke
hrankjan	ranken
hrapōn	stürzen, eilen
hriggs	Ring, Kreis
hrisjan	schütteln
hrōms	Ruhm
hrōpan	rufen
hrōpjan	rufen, schreien
hrōps	Ruf, Geschrei
hrōt	Dach, Haus
hrōþ	Ruhm, Sieg
hrōþeigs	ruhmreich, siegreich
hrugga	Stab, Rute
hrūk	Krähen
hrūkjan	krähen
hrunkjan	runzeln
hruskan	forschen
hugds	Gesinnung
huggrjan	hungern
hugjan	denken, meinen, glauben
hugs	Verstand, Sinn
hugs	Landgut, Feld
hūhjan	häufen, sammeln
hūhrus	Hunger, Hungersnot
huleins	Hüllung
hulistr	Hülle, Decke
huljan	hüllen, verhüllen
Hulmarugeis	Rugier
hulms	Insel
hulōn	höhlen
huls	hohl
hulþa	Holder
hulþō	Holde
hulþs	hold, gnädig, günstig
hulundi	Höhle
hund	hundert
hundafaþs	Zenturio, Hundertführer
hunds	Hund
hūns	junger Bär
hunsl	Opfer
hunslags	versöhnlich
hunslastaþs	Opferstätte, Altar
hunsljan	opfern
hunþs	Fang, Beute
hups	Hüfte
hūs	Haus
husa	Beinschiene, Hose, Beinkleid
huzd	Hort, Schatz
huzdjan	Schätze sammeln, sammeln
hwssōpō	Ysop
ƕadrē	wohin
ƕair	Kessel, ƕRune
ƕaírban	wandeln, sich wenden
ƕaírnei	Schädel
ƕaírneins	Schädel
ƕaírnō	Schädel
ƕaiteis	Weizen
ƕaiwa	wie, irgendwie
ƕan	wann, irgendwann, wie, um wieviel, etwa
ƕanhun	jemals
ƕapjan	ersticken
ƕapnan	ersticken
ƕar	wo
ƕarbōn	wandeln, gehen, umhergehen
ƕarjis	welcher, wer
ƕarjizuh	jeder
ƕas	wer, was, irgendeiner, jemand, etwas
ƕashun	jemand
ƕassaba	scharf, streng
ƕassei	Strenge, Schärfe
ƕatjan	anreizen, verlocken
ƕats	scharf
ƕaþ	wohin
ƕaþar	wer von beiden
ƕaþaruh	jeder von beiden
ƕaþjan	schäumen
ƕaþō	Schaum
ƕaþrō	woher, von woher
ƕazuh	jeder
ƕē	wem, mit wem, womit, um was, irgendwie, etwa
ƕēh	jedenfalls, nur
ƕeila	Weile, Zeit, Stunde
ƕeilaƕaírbs	nur eine Zeitlang dauernd, vergänglich, unbeständig
ƕeilains	Ruhe, Verweilen
ƕeilan	aufhören
ƕeilōhun	eine Stunde lang
ƕeitags	weiß
ƕeitjan	weißen
ƕeits	weiß
ƕēlauþs	wie groß
ƕilban	wölben
ƕileiks	wie beschaffen, was für ein, welcher
ƕilftri	Wölbung
ƕilftrjōs	Totenkiste, Sarg
ƕj	760
ƕke	725
ƕm	740
ƕmg	743
ƕōftuli	Ruhm, Rühmen
ƕōpan	sich rühmen
ƕōta	Drohung
ƕōtjan	drohen
ƕssōpō	Ysop
ƕz	707
i	i, Abkürzung für 10
ia	11
ib	12
ibai	ob, etwa, wohl, ob denn, doch wohl, doch nicht, dass nicht etwa
ibdalja	Berglehne, Abhang
ibna	gleich
ibnaleiks	gleichen Körpers, gleich
ibnaskauns	gleichschön, gleichgesichtig, gleichgestaltet
ibnassus	Gleichheit, Billigkeit
ibnatjan	gleichmachen, ebnen
ibnjan	ebnen
ibnōn	ebnen
ibns	eben, flach, gleich
ibrs	Eber
ibuks	rückwärts gewandt, zurück
id	14
iddja	ging
idreiga	Buße
idreigōn	bereuen, Buße tun
idreigs	reuig
idweit	Schmach, Schimpf
idweitan	rügen, zurechtweisen
idweitjan	schmähen
ie	15
iftuma	folgende
ig	13
igils	Igel
igqar	euch beiden gehörig, euer beider
ih	18
iiz	Eis, iRune
ik	ich
ikei	der ich, ich welcher
in	in, an, auf, unter, zu, während, bei, über, nach, gegen, um, für, bis zu, wegen, um willen, durch
inagjan	anfahren, bedrohen, in Angst setzen
inahei	Besonnenheit, Selbstbeherrschung
inahs	verständig, besonnen, klug
inaljanōn	zornig machen, reizen
inbrannjan	anbrennen, in Brand stecken
indrōbnan	in Bestürzung geraten, erschüttert werden
infeinan	sich erbarmen, gerührt sein
ingaleikōn	verwandeln, umwandeln
ingardja	Hausgenosse
ingardja	im Haus befindlich
ingif	Gift
ingramjan	erbittern
ingrimjis	schrecklich
inilō	Entschuldigung, Vorwand, Gelegenheit
inilōn	einwenden
inkilþō	schwanger, Schwangere
inkunja	Stammesgenosse, Landsmann
inliuhtjan	erleuchten
inmaideins	Vertauschung, Tausch
inmaidjan	verwandeln, verändern
inn	hinein
inna	innen, innerhalb
innakunds	zum Haus gehörig, Hausgenosse
innana	von innen, hinein, innen, innerhalb, inwendig
innatbaíran	hineinbringen, hineintragen
innatgaggan	hineingehen, hineinkommen
innatgāhts	Eingang, Eintritt
innattiuhan	hineinziehen, hineinführen
innaþrō	von innen, inwendig
inngaggan	hineingehen, fortgehen
inngaleiþan	hineingehen
inniman	hernehmen
inniujiþa	Erneuerung, Fest der Tempelweihe, Kirchweihe
innufsliupan	weiter hinaufschlüpfen, hineinschlüpfen
innuma	der innere, innerlich
innwaírpan	hineinwerfen
inraúhtjan	erzürnt werden, zürnen, unwillig sein
inreiran	erzittern, erbeben
ins	Schwert
insahts	Erzählung, Aussage, Zeugnis
insáian	einsäen, hineinsäen
insaíƕan	hinsehen, ansehen, auf etwas sehen, nach etwas sehen, aufblicken, sich umsehen
insailjan	anseilen, herablassen
insakan	vorstellen, anraten, eintreten für, bezeichnen, vortragen, anzeigen
insandjan	entsenden, hinsenden, zusenden, senden
instandan	bevorstehen, eintreten für
inswinþjan	stärken
intandjan	anzünden, verbrennen, in Brand setzen
intrusgjan	einpfropfen
intundnan	verbrennen
inuh	ohne, außer
inwagjan	erregen, aufwiegeln
inwandjan	hineinwenden, verdrehen, verkehren
inweitan	Verehrung erweisen, begrüßen, anbeten, ansehen, verehren
inweitjan	anbeten, behexen
inwidan	verleugnen, für ungültig erklären
inwindiþa	Ungerechtigkeit
inwinds	gewunden, ungerecht, verkehrt, verdorben
inwisan)	bevorstehen
inwitōþs	innerhalb des Gesetzes stehend, gesetzlich
iowi	ein Gott
iq	16
is	er
isks	isch
Israēl	Israel
Israēleitēs	Israelit
itan	essen
iþ	aber, und, wenn, nun, also, denn
iþ	19
Iudaialand	Judäa
Iudaius	Jude
iudaiwiskō	auf jüdische Weise
iudaiwiskōn	jüdisch leben
iudaiwisks	jüdisch
iumjō	Haufen, Menge
iup	aufwärts, hinauf
iupa	oben, hinauf
iupana	von oben, von Anfang an, von vorne
iupaþrō	von oben
ius	besser
iusila	Erholung, Besserung
iusilōn	bessern, erleichtern
iusiza	besser, vorzüglicher
iuþa	Nachkomme
iz	17
izei	der, welcher
izwar	euer
j	j, Abkürzung für 60
ja	ja
jabai	ob, wenn, wenn nur
jah	und, und zwar, auch, aber, denn
jai	ja, wahrlich, für wahr
jainar	an jenem Ort, dort
jaind	dorthin
jaindrē	dorthin
jaindwaírþs	dorthin gewandt
jains	jener
jainþrō	dorther, von dort
jaþþē	und wenn, sei es dass, gleichviel ob, entweder ... oder
jau	ob
jēr	Jahr, Zeit, jRune
Jesus	Jesus
jiuka	Zornausbruch, Streit
jiukan	kämpfen, ringen, obsiegen
Jiula	Julfest
jiuleis	Julmonat, Dezember
jōta	Jota, Pünktchen
jq	66
ju	schon, doch, nun, jetzt
jūdaiwisks	jüdisch
juggalauþs	Jüngling
juggs	jung, jugendlich
juk	Gespann, Joch, Paar
jukuzi	Joch
junda	Jugend
jūs	ihr
jut	ihr beide
juþan	schon
jūzei	ihr welche, die ihr
k	k, Abkürzung für 20
ka	21
kaìtàloipá	und so weiter
kaisar	Kaiser
kaisaragild	Kaisergeld, Zensus, Steuer, Kaisersteuer
kalb	Kalb
kalbō	junge Kuh, weibliches Kalb, Kalbe
kaldiggs	Quelle, Brunnen
kalds	kalt
kalkinassus	Hurerei, Unzucht
kalkinōn	Unzucht treiben, huren
kalkjō	Hure
kanna	Geschlecht, Nachkommenschaft
kannjan	kund tun, bekanntmachen, empfehlen, verkünden
kapillōn	das Haar abschneiden, scheren
kappōn	hauen, schneiden
kara	Sorge
karja	besorgt
karkara	Kerker, Gefängnis
karōn	sich kümmern
karpa	Karpfen
kart	Wagen
kas	Gefäß
kasja	Töpfer
katils	Kessel
kaup	Handel, Kauf
kaupatjan	ohrfeigen, Faustschlag geben
kaupōn	Geschäfte machen, Handel treiben
kaúrban	Gabe, fromme Stiftung, Opfer
kaúrbaúnas	Tempelschatz
kaúrei	Schwere, Fülle, Last
kaúreins	Schwere, Beschwerlichkeit
kaúriþa	Last, Schwere
kaúrjan	drücken, belästigen, beschweren
kaúrn	Korn, Getreide, Weizen
kaúrnō	Korn
kaúrus	schwer, lästig
kausjan	kosten, kennen lernen, prüfen
kawtsjō	Sicherheit, Bürgschaft, Verschreibung
kb	22
kd	24
ke	25
keinan	keimen
kēlikn	Turm, Speisesaal im Obergeschoß, Söller
kg	23
kh	28
kilan	schlucken, schlingen
kilemschkop	trinke den Becher aus
kilþ	Kind
kilþei	Mutterleib
kind	Kind
kindins	Statthalter, Landpfleger
kinds	Kind, Geschlecht, Art
kinnus	Wange
kintus	Heller
kiusan	prüfen, wählen
klismjan	gellen, klingen, schallen
klismō	Becken, Zimbel, Klingel, Schelle
kluba	Kloben, Kluppe, gespaltener Zweig
knawana	gut
kniu	Knie
knōþs	Geschlecht
knussjan	niederfallen, auf die Knie fallen, knien
knussus	Knien
knutjan	knien
kōka	Kuchen
kōni	kühn
kop	Becher
kq	26
kramjan	drücken
krampa	Klammer, Haken
krappa	Haken
krattōn	kratzen
kreitan	kreischen, schreien
kreitus	Kreis
Krēks	Grieche
kripja	Krippe
kriustan	knirschen
krōtōn	zermalmen
krūka	Krug
krukkja	Krücke
kruppa	runde Masse
krūska	Kleie
krūski	Kleie
krusts	Knirschen
kþ	29
kubitus	Liegen am Tisch, Tischgesellschaft, Gruppe, Tischgenossenschaft
kukjan	küssen
kumei	steh auf
kunawida	Fessel, Band
kundjan	sich vermehren
kunds	stammend
kuni	Geschlecht, Stamm
kunnains	Kennenlernen
kunnan	kennen, wissen
kunnan	kennenlernen
kuns	stammend
kunþi	Kunde, Kenntnis
kunþjan	künden
kunþs	kund, bekannt, Bekannter
kuskeis	keusch
kusma	Kehle, kRune, Geschwür
kusts	Probe
kustus	Prüfung, Beweis
Kwreinaius	kyrenisch, Einwohner von Kyrene
kz	27
l	1, Abkürzung für dreißig
laggamōdei	Langmut
laggamōþs	langmütig
laggei	Länge
laggs	lang
lagjan	legen, auflegen, hinlegen, setzen, stellen
lagus	See, lRune
láian)	schmähen
laiba	Überbleibsel, Rest
laibjan	übrig lassen
laidjan	gehen machen, leiten
laif	Rest
laigaiōn	Legion
laigōn	lecken
laikan	hüpfen, springen
laiks	Tanz
laíktjō	Leseabschnitt, Lektion
laisan	wissen, erfahren
laisāreis	Lehrer
laiseigs	zum Lehren befähigt, zum Lehren geeignet, lehrend
laiseins	Lehre
laisiþs	gelehrt
laisjan	lehren, belehren, sich belehren
laisō	Lehre
laistjan	folgen, nachstreben, verfolgen, nachgehen
laistōn	leisten
laists	Spur
laiþs	leid
Laiwweitus	Levit
lamb	Lamm, Schaf, junges Kleinvieh
lameis	lahm, schlaff, mild, matt
land	Land, Landgut, Gegend
landjō	Lende
lapins	Löffel
lasiws	schwach
laska	Fetzen
latei	Lässigkeit, Trägheit
